,0
0,6088
1,1468
2,1468
3,1468
4,8167
5,1468
6,1468
7,1468
8,1468
9,1468
10,1468
11,1468
12,2161
13,2161
14,4009
15,1468
16,1468
17,1468
18,1468
19,1468
20,1468
21,1468
22,1468
23,2854
24,1468
25,1468
26,1468
27,1468
28,1468
29,1468
30,1468
31,1468
32,1468
33,1468
34,1468
35,1468
36,1468
37,1468
38,1468
39,1468
40,1468
41,1468
42,1468
43,1468
44,1468
45,1468
46,1468
47,1468
48,1468
49,1468
50,1468
51,1468
52,1468
53,1468
54,1468
55,1468
56,1468
57,1468
58,1468
59,1468
60,1468
61,1468
62,1468
63,1468
64,1468
65,1468
66,1468
67,1468
68,1468
69,1468
70,1468
71,1468
72,1468
73,1468
74,1468
75,1468
76,1468
77,1468
78,1468
79,1468
80,1468
81,1468
82,1468
83,1468
84,1468
85,1468
86,1468
87,1468
88,1468
89,1468
90,1468
91,1468
92,1468
93,1468
94,1468
95,1468
96,1468
97,1468
98,1468
99,1468
100,1468
101,1468
102,1468
103,1468
104,1468
105,1468
106,1468
107,1468
108,1468
109,1468
110,1468
111,1468
112,1468
113,1468
114,1468
115,1468
116,1468
117,1468
118,1468
119,1468
120,1468
121,1468
122,1468
123,1468
124,1468
125,1468
126,1468
127,1468
128,1468
129,1468
130,1468
131,1468
132,1468
133,1468
134,1468
135,1468
136,1468
137,1468
138,1468
139,1468
140,1468
141,1468
142,1468
143,1468
144,1468
145,1468
146,1468
147,1468
148,1468
149,1468
150,1468
151,1468
152,1468
153,1468
154,1468
155,1468
156,1468
157,1468
158,1468
159,1468
160,1468
161,1468
162,1468
163,1468
164,1468
165,1468
166,1468
167,1468
168,1468
169,1468
170,1468
171,1468
172,1468
173,1468
174,1468
175,1468
176,1468
177,1468
178,1468
179,1468
180,1468
181,1468
182,1468
183,1468
184,1468
185,1468
186,1468
187,1468
188,1468
189,1468
190,1468
191,1468
192,1468
193,1468
194,1468
195,1468
196,1468
197,1468
198,1468
199,1468
200,1468
201,1468
202,1468
203,1468
204,1468
205,1468
206,1468
207,1468
208,1468
209,1468
210,1468
211,1468
212,1468
213,1468
214,1468
215,1468
216,1468
217,1699
218,1468
219,1468
220,1468
221,1468
222,1468
223,1468
224,1468
225,1468
226,1468
227,1468
228,1468
229,1468
230,1468
231,1468
232,1468
233,1468
234,1468
235,1468
236,1468
237,1468
238,1468
239,1468
240,1468
241,1468
242,1468
243,1468
244,1468
245,1468
246,1468
247,1468
248,1468
249,1468
250,1468
251,1468
252,1468
253,1468
254,1468
255,1468
256,1468
257,1468
258,1468
259,1468
260,1468
261,1468
262,1468
263,1468
264,1468
265,1468
266,1468
267,1468
268,1468
269,1468
270,1468
271,1468
272,1468
273,1468
274,1468
275,1468
276,1468
277,1468
278,1468
279,1468
280,1468
281,1468
282,1468
283,1468
284,1468
285,1468
286,1468
287,1468
288,1468
289,1468
290,1468
291,1468
292,1468
293,1468
294,1468
295,1468
296,1468
297,1468
298,1468
299,1468
300,1468
301,1468
302,1468
303,1468
304,1468
305,1468
306,1468
307,1468
308,1468
309,1468
310,1468
311,1468
312,1468
313,1468
314,1468
315,1468
316,1468
317,1468
318,1468
319,1468
320,1468
321,1468
322,1468
323,1468
324,1468
325,1468
326,1468
327,1468
328,1468
329,1468
330,1468
331,1468
332,1468
333,1468
334,1468
335,1468
336,1468
337,1468
338,1468
339,1468
340,1468
341,1468
342,1468
343,1468
344,1468
345,1468
346,1468
347,1468
348,1468
349,1468
350,1468
351,1468
352,1468
353,1468
354,1468
355,1468
356,1468
357,1468
358,1468
359,1468
360,1468
361,1468
362,1468
363,1468
364,1468
365,1468
366,1468
367,1468
368,1468
369,1468
370,1468
371,1468
372,1468
373,1468
374,1468
375,1468
376,1468
377,1468
378,1468
379,1468
380,1468
381,1468
382,1468
383,1468
384,1468
385,1468
386,1468
387,1468
388,1468
389,1468
390,1468
391,1468
392,1468
393,1468
394,1468
395,1468
396,1468
397,1468
398,1468
399,1468
400,1468
401,1468
402,1468
403,1468
404,1468
405,1468
406,1468
407,1468
408,1468
409,1468
410,1468
411,1468
412,1468
413,1468
414,1468
415,1468
416,1468
417,1468
418,1468
419,1468
420,1468
421,1468
422,1468
423,1468
424,1468
425,1468
426,1468
427,1468
428,1468
429,1468
430,1468
431,1468
432,1468
433,3547
434,1468
435,1468
436,1930
437,1468
438,1468
439,1468
440,1468
441,1468
442,1468
443,1468
444,1468
445,1468
446,1468
447,1468
