,0
0,8921
1,333
2,333
3,333
4,333
5,333
6,333
7,333
8,333
9,333
10,333
11,333
12,333
13,333
14,333
15,333
16,333
17,333
18,333
19,333
20,333
21,333
22,333
23,333
24,333
25,333
26,333
27,333
28,333
29,333
30,333
31,333
32,333
33,333
34,333
35,333
36,333
37,333
38,333
39,333
40,333
41,333
42,333
43,333
44,333
45,333
46,333
47,333
48,333
49,333
50,333
51,333
52,333
53,333
54,333
55,333
56,333
57,333
58,333
59,333
60,333
61,333
62,333
63,333
64,333
65,333
66,333
67,333
68,333
69,333
70,333
71,333
72,333
73,333
74,333
75,333
76,333
77,333
78,333
79,333
80,333
81,333
82,333
83,333
84,333
85,333
86,333
87,333
88,333
89,333
90,333
91,333
92,333
93,333
94,333
95,333
96,333
97,333
98,333
99,333
100,333
101,333
102,333
103,333
104,333
105,333
106,333
107,333
108,333
109,333
110,333
111,333
112,333
113,333
114,333
115,333
116,333
117,333
118,333
119,333
120,333
121,333
122,333
123,333
124,333
125,333
126,333
127,333
128,333
129,333
130,333
131,333
132,333
133,333
134,333
135,333
136,333
137,333
138,333
139,333
140,333
141,333
142,333
143,333
144,333
145,333
146,333
147,333
148,333
149,333
150,333
151,333
152,333
153,333
154,333
155,333
156,333
157,333
158,333
159,333
160,333
161,333
162,333
163,333
164,333
165,333
166,333
167,333
168,333
169,333
170,333
171,333
172,333
173,333
174,333
175,333
176,333
177,333
178,333
179,333
180,333
181,333
182,333
183,333
184,333
185,333
186,333
187,333
188,333
189,333
190,333
191,333
192,333
193,333
194,333
195,333
196,333
197,333
198,333
199,333
200,333
201,333
202,333
203,333
204,333
205,333
206,333
207,333
208,333
209,333
210,333
211,333
212,333
213,333
214,333
215,333
216,333
217,333
218,333
219,333
220,333
221,333
222,333
223,333
224,333
225,333
226,333
227,333
228,333
229,333
230,333
231,333
232,333
233,333
234,333
235,333
236,333
237,333
238,333
239,333
240,333
241,333
242,333
243,333
244,333
245,333
246,333
247,333
248,333
249,333
250,333
251,333
252,333
253,333
254,333
255,333
256,333
257,333
258,333
259,333
260,333
261,333
262,333
263,333
264,333
265,333
266,333
267,333
268,333
269,333
270,333
271,333
272,333
273,333
274,333
275,333
276,333
277,333
278,333
279,333
280,333
281,333
282,333
283,333
284,333
285,333
286,333
287,333
288,333
289,333
290,333
291,333
292,333
293,333
294,333
295,333
296,333
297,333
298,333
299,333
300,333
301,333
302,333
303,333
304,333
305,333
306,333
307,333
308,333
309,333
310,333
311,333
312,333
313,333
314,333
315,333
316,333
317,333
318,333
319,333
320,333
321,333
322,333
323,333
324,333
325,333
326,333
327,333
